z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.0,250.36370000000002,2138.213,115.13510000000001,134.2286,NaN,NaN,NaN,NaN
1225.42443474361,245.00378252523848,2131.6737020119735,112.6702273589246,131.35496369109111,NaN,NaN,NaN,NaN
2447.484730833944,239.75861297653915,2125.1472499420624,110.24945623548723,128.55145136851203,NaN,NaN,NaN,NaN
3666.186330815914,234.62573536118646,2118.6341499804867,107.88085542196619,125.80761607684785,NaN,NaN,NaN,NaN
4881.53551677011,229.6027439138896,2112.134457960666,105.56332019229707,123.12216639790812,NaN,NaN,NaN,NaN
6093.537301953787,224.68728958009052,2105.64823334424,103.2957438317704,120.4938691788051,NaN,NaN,NaN,NaN
7302.198674071279,219.8770656200467,2099.175523649023,101.07704020226451,117.92151284412705,NaN,NaN,NaN,NaN
8507.524931171452,215.16982147069453,2092.7163836965283,98.90615013446673,115.40391481034328,NaN,NaN,NaN,NaN
9709.521937125934,210.56335248595133,2086.2708637837413,96.78203668399756,112.93991601077089,NaN,NaN,NaN,NaN
10908.194444622874,206.0555053709605,2079.8390185136946,94.70368756801835,110.52838387104507,NaN,NaN,NaN,NaN
12103.550550233049,201.6441604707363,2073.420883351612,92.67010698832449,108.1682028451767,NaN,NaN,NaN,NaN
13295.595007644582,197.32725596798508,2067.016509834749,90.68032668674574,105.85828746078688,NaN,NaN,NaN,NaN
14484.333688737797,193.10277003288547,2060.625942105982,88.73339773309388,103.59757275221222,NaN,NaN,NaN,NaN
15669.772467692168,188.96872412001272,2054.249222797065,86.82839197732919,101.38501609162122,NaN,NaN,NaN,NaN
16851.917221071195,184.9231820416879,2047.8863930408993,84.9644015909564,99.21959672442856,NaN,NaN,NaN,NaN
18030.772733338956,180.96425270845006,2041.5374982687474,83.14054028904152,97.10031727652152,NaN,NaN,NaN,NaN
19206.348169627643,177.09007100519423,2035.202559299171,81.35593451290592,95.02619352392001,NaN,NaN,NaN,NaN
20378.64613049145,173.2988333956836,2028.8816301986683,79.60973973245746,92.99627355221982,NaN,NaN,NaN,NaN
21547.67142625329,169.58876743586143,2022.5747519425079,77.90112644941311,91.00962138862323,NaN,NaN,NaN,NaN
22713.434293807535,165.95812168817056,2016.281935352099,76.22927549904198,89.06531165435467,NaN,NaN,NaN,NaN
23875.938448252804,162.40520271887675,2010.0032243605992,74.59339500624522,87.16244945770148,NaN,NaN,NaN,NaN
25035.189784077844,158.9283465121279,2003.7386499803742,72.99270726702859,85.30015504098048,NaN,NaN,NaN,NaN
26191.19419835805,155.52592467620042,1997.4882418349139,71.42645154103639,83.47756716900624,NaN,NaN,NaN,NaN
27343.95759072897,152.1963436808376,1991.252028174745,69.8938836826465,81.69384273824618,NaN,NaN,NaN,NaN
28493.48586334857,148.9380441109206,1985.030035893201,68.39427577290047,79.94815640135864,NaN,NaN,NaN,NaN
29639.784920852,145.74949993611122,1978.8222905422663,66.92691575981983,78.23970019926072,NaN,NaN,NaN,NaN
30782.860670297654,142.62921779613202,1972.628816348942,65.49110710692521,76.56768320057492,NaN,NaN,NaN,NaN
31922.71902110338,139.57573630135124,1966.4496362316927,64.08616844976554,74.93133114831741,NaN,NaN,NaN,NaN
33059.365884976796,136.58762534833622,1960.2847718171815,62.711433260261074,73.32988611368752,NaN,NaN,NaN,NaN
34192.80507113978,133.66349083797468,1954.134254665587,61.366251992323214,71.76260904954582,NaN,NaN,NaN,NaN
35323.04671085426,130.80195235302736,1947.99808142848,60.04998181823446,70.22876782076058,NaN,NaN,NaN,NaN
36450.094611675886,128.00167519269087,1941.8762811932709,58.762001298965195,68.72765444004703,NaN,NaN,NaN,NaN
37573.95678051835,125.26134279300365,1935.7688594614935,57.50169773218683,67.2585702507484,NaN,NaN,NaN,NaN
